Lokasi Rak,Kode Material,Nama Barang,Qty,UoM,Deskripsi,Link Drive Foto,Link Drive Foto,Link Drive Foto Gabungan
RE02.1,,ABBS 203 MTC 16/D63/S2202 MTC6,1,Pcs,,https://drive.google.com/file/d/1h326aDrz_AgT75hK_JR9LaTC0WhJDb_I/view?usp=drivesdk,,
RE02.1,,JST Connector,1,Pcs,,https://drive.google.com/file/d/10FF9x40cAeS2NnluMwuJ_NAHhg0fKFZr/view?usp=drivesdk,,
RE02.1,,JST JVA Conector J320m,23,Pcs,,https://drive.google.com/file/d/1ZTm02LVPzCIos2unpAmgrfz_KnJVAWam/view?usp=drivesdk,,
RE02.1,,JST RV-KX-L,305,Pcs,,https://drive.google.com/file/d/1ee5BMQI9rDlo2MRevvc48DQGdrMXwMd8/view?usp=drivesdk,,
RE03.1,,M12 4P D-CODE D MALE,1,Pcs,,https://drive.google.com/file/d/11NbjEO4xGWndMlHiOHle17qkBCNm_ngA/view?usp=drivesdk,,
RE03.1,,SKUN SOKET (Male + Female),1,Pcs,,https://drive.google.com/file/d/1B-NiLSgqWGX5Jdhypv3shb8suRUrSSmo/view?usp=drivesdk,,
RE03.1,,WAGO 25x2022 -152,1,Pcs,,https://drive.google.com/file/d/195kazP3pGTE11v1QfXEgg052dxIq1x59/view?usp=drivesdk,,
RE03.1,,Soket RS232 DBg Konektor Female ,1,Pcs,,https://drive.google.com/file/d/15R3Yc18BP5JbUHR06YRvoaffMNR2q1Kl/view?usp=drivesdk,,
RE03.1,,MI2 Crimp Slim d-cod ed,35,Pcs,,https://drive.google.com/file/d/1SkHifcuN8TJfrJi1gUnHcEuBXTa437li/view?usp=drivesdk,,
RE03.1,,M12 D-CODE 4 PIN MALE/SPIN,1,Pcs,,https://drive.google.com/file/d/1AawLvg01BpuYhOFVnri2UeyB7nRYDIQG/view?usp=drivesdk,,
RE03.1,,Connector D13 Female,1,Pcs,,https://drive.google.com/file/d/1oXilzYy4fSAeuFYysu6PysyQvsAU0pqO/view?usp=drivesdk,,
RE03.1,19000200295,PIN PLC Receptacicie Contact,37,Pack,,https://drive.google.com/file/d/1sdUczDRzGxZpofy_UM1Z-lixukBWRxX0/view?usp=drivesdk,,
RE03.1,,Terminal Block Tide TXW S-S,1,Pcs,,https://drive.google.com/file/d/1b3E2uMR_83kGUM0y5V_UIjTp40xzrilM/view?usp=drivesdk,,
RE03.1,,DF06-ICLO IPO OA 230/400,1,Pcs,,https://drive.google.com/file/d/1Nmx5yEB0FhLizlreqMkdqhBe6yEvcUAL/view?usp=drivesdk,,
RE03.1,,M12/D-Sub-Crimping male Needie,1,Pcs,,https://drive.google.com/file/d/1ji9gPKwgxJALyfKTcYwdWEP08dIU2-mT/view?usp=drivesdk,,
RE03.1,,64Q-2125 Relay DC110V,2,Pcs,,https://drive.google.com/file/d/1C2aPo2qEw71C91MYZ7FpReu6ZyY33DS9/view?usp=drivesdk,,
RE03.1,,JST 100-8,1,Pcs,,https://drive.google.com/file/d/14pnTjiddlEJulRbro_0xBqUt_8SAjT4I/view?usp=drivesdk,,
RE03.1,,"Stop Kontak, Panasonic WES JP 1121 W ",2,Pcs,,https://drive.google.com/file/d/1jUfLotvGhNOAt-L2VhvRHxudeTTV91fF/view?usp=drivesdk,,
RE03.1,,"Kontak, Pnasonic WESJP 11218",2,Pcs,,https://drive.google.com/file/d/1D5A40ZNlZwejIuMlmi214yXrDH4zwKxY/view?usp=drivesdk,,
